Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	DMSO_1_1 Spectral Count	DMSO_1_2 Spectral Count	DMSO_1_3 Spectral Count	DMSO_1_4 Spectral Count	DMSO_1_5 Spectral Count	DMSO_1_6 Spectral Count	DMSO_4_1 Spectral Count	DMSO_4_2 Spectral Count	DMSO_4_3 Spectral Count	DMSO_4_4 Spectral Count	DMSO_4_5 Spectral Count	DMSO_4_6 Spectral Count	DMSO_6_1 Spectral Count	DMSO_6_2 Spectral Count	DMSO_6_3 Spectral Count	DMSO_6_4 Spectral Count	DMSO_6_5 Spectral Count	DMSO_6_6 Spectral Count	brigatinib_1 Spectral Count	brigatinib_10 Spectral Count	brigatinib_100 Spectral Count	brigatinib_1000 Spectral Count	brigatinib_10000 Spectral Count	dabrafenib_1 Spectral Count	dabrafenib_10 Spectral Count	dabrafenib_100 Spectral Count	dabrafenib_1000 Spectral Count	dabrafenib_10000 Spectral Count	methotrexate_1 Spectral Count	methotrexate_10 Spectral Count	methotrexate_100 Spectral Count	methotrexate_1000 Spectral Count	methotrexate_10000 Spectral Count	DMSO_1_1 Unique Spectral Count	DMSO_1_2 Unique Spectral Count	DMSO_1_3 Unique Spectral Count	DMSO_1_4 Unique Spectral Count	DMSO_1_5 Unique Spectral Count	DMSO_1_6 Unique Spectral Count	DMSO_4_1 Unique Spectral Count	DMSO_4_2 Unique Spectral Count	DMSO_4_3 Unique Spectral Count	DMSO_4_4 Unique Spectral Count	DMSO_4_5 Unique Spectral Count	DMSO_4_6 Unique Spectral Count	DMSO_6_1 Unique Spectral Count	DMSO_6_2 Unique Spectral Count	DMSO_6_3 Unique Spectral Count	DMSO_6_4 Unique Spectral Count	DMSO_6_5 Unique Spectral Count	DMSO_6_6 Unique Spectral Count	brigatinib_1 Unique Spectral Count	brigatinib_10 Unique Spectral Count	brigatinib_100 Unique Spectral Count	brigatinib_1000 Unique Spectral Count	brigatinib_10000 Unique Spectral Count	dabrafenib_1 Unique Spectral Count	dabrafenib_10 Unique Spectral Count	dabrafenib_100 Unique Spectral Count	dabrafenib_1000 Unique Spectral Count	dabrafenib_10000 Unique Spectral Count	methotrexate_1 Unique Spectral Count	methotrexate_10 Unique Spectral Count	methotrexate_100 Unique Spectral Count	methotrexate_1000 Unique Spectral Count	methotrexate_10000 Unique Spectral Count	DMSO_1_1 Total Spectral Count	DMSO_1_2 Total Spectral Count	DMSO_1_3 Total Spectral Count	DMSO_1_4 Total Spectral Count	DMSO_1_5 Total Spectral Count	DMSO_1_6 Total Spectral Count	DMSO_4_1 Total Spectral Count	DMSO_4_2 Total Spectral Count	DMSO_4_3 Total Spectral Count	DMSO_4_4 Total Spectral Count	DMSO_4_5 Total Spectral Count	DMSO_4_6 Total Spectral Count	DMSO_6_1 Total Spectral Count	DMSO_6_2 Total Spectral Count	DMSO_6_3 Total Spectral Count	DMSO_6_4 Total Spectral Count	DMSO_6_5 Total Spectral Count	DMSO_6_6 Total Spectral Count	brigatinib_1 Total Spectral Count	brigatinib_10 Total Spectral Count	brigatinib_100 Total Spectral Count	brigatinib_1000 Total Spectral Count	brigatinib_10000 Total Spectral Count	dabrafenib_1 Total Spectral Count	dabrafenib_10 Total Spectral Count	dabrafenib_100 Total Spectral Count	dabrafenib_1000 Total Spectral Count	dabrafenib_10000 Total Spectral Count	methotrexate_1 Total Spectral Count	methotrexate_10 Total Spectral Count	methotrexate_100 Total Spectral Count	methotrexate_1000 Total Spectral Count	methotrexate_10000 Total Spectral Count	DMSO_1_1 Intensity	DMSO_1_2 Intensity	DMSO_1_3 Intensity	DMSO_1_4 Intensity	DMSO_1_5 Intensity	DMSO_1_6 Intensity	DMSO_4_1 Intensity	DMSO_4_2 Intensity	DMSO_4_3 Intensity	DMSO_4_4 Intensity	DMSO_4_5 Intensity	DMSO_4_6 Intensity	DMSO_6_1 Intensity	DMSO_6_2 Intensity	DMSO_6_3 Intensity	DMSO_6_4 Intensity	DMSO_6_5 Intensity	DMSO_6_6 Intensity	brigatinib_1 Intensity	brigatinib_10 Intensity	brigatinib_100 Intensity	brigatinib_1000 Intensity	brigatinib_10000 Intensity	dabrafenib_1 Intensity	dabrafenib_10 Intensity	dabrafenib_100 Intensity	dabrafenib_1000 Intensity	dabrafenib_10000 Intensity	methotrexate_1 Intensity	methotrexate_10 Intensity	methotrexate_100 Intensity	methotrexate_1000 Intensity	methotrexate_10000 Intensity	DMSO_1_1 MaxLFQ Intensity	DMSO_1_2 MaxLFQ Intensity	DMSO_1_3 MaxLFQ Intensity	DMSO_1_4 MaxLFQ Intensity	DMSO_1_5 MaxLFQ Intensity	DMSO_1_6 MaxLFQ Intensity	DMSO_4_1 MaxLFQ Intensity	DMSO_4_2 MaxLFQ Intensity	DMSO_4_3 MaxLFQ Intensity	DMSO_4_4 MaxLFQ Intensity	DMSO_4_5 MaxLFQ Intensity	DMSO_4_6 MaxLFQ Intensity	DMSO_6_1 MaxLFQ Intensity	DMSO_6_2 MaxLFQ Intensity	DMSO_6_3 MaxLFQ Intensity	DMSO_6_4 MaxLFQ Intensity	DMSO_6_5 MaxLFQ Intensity	DMSO_6_6 MaxLFQ Intensity	brigatinib_1 MaxLFQ Intensity	brigatinib_10 MaxLFQ Intensity	brigatinib_100 MaxLFQ Intensity	brigatinib_1000 MaxLFQ Intensity	brigatinib_10000 MaxLFQ Intensity	dabrafenib_1 MaxLFQ Intensity	dabrafenib_10 MaxLFQ Intensity	dabrafenib_100 MaxLFQ Intensity	dabrafenib_1000 MaxLFQ Intensity	dabrafenib_10000 MaxLFQ Intensity	methotrexate_1 MaxLFQ Intensity	methotrexate_10 MaxLFQ Intensity	methotrexate_100 MaxLFQ Intensity	methotrexate_1000 MaxLFQ Intensity	methotrexate_10000 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A075B767|PAL4H_HUMAN	A0A075B767	PAL4H_HUMAN	PPIAL4H	164	Homo sapiens	3:Protein inferred from homology	Peptidyl-prolyl cis-trans isomerase A-like 4H	0.9702	0.9955	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01E+07	2.08E+07	0	0	1.74E+07	0	0	0	2.13E+07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01E+07	2.08E+07	0	0	1.74E+07	0	0	0	2.13E+07	0	0	0	0	0	0	0	0	0	0	
sp|A0A096LP01|SIM26_HUMAN	A0A096LP01	SIM26_HUMAN	SMIM26	95	Homo sapiens	3:Protein inferred from homology	Small integral membrane protein 26	0.9583	0.999	1	30	30	30	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	9422770	9657686	9029652	1.12E+07	9178498	8364261	9528155	8990878	1.11E+07	9526722	1.23E+07	1.13E+07	9476346	1.14E+07	8326458.5	8608942	1.15E+07	1.43E+07	1.40E+07	1.14E+07	1.13E+07	1.13E+07	5461866.5	1.01E+07	1.03E+07	9102004	0	5563927	1.09E+07	1.08E+07	6744855	3538992.8	6176002.5	9422770	9657686	9029652	1.12E+07	9178498	8364261	9528155	8990878	1.11E+07	9526722	1.23E+07	1.13E+07	9476346	1.14E+07	8326458.5	8608942	1.15E+07	1.43E+07	1.40E+07	1.14E+07	1.13E+07	1.13E+07	5461866.5	1.01E+07	1.03E+07	9102004	0	5563927	1.09E+07	1.08E+07	6744855	3538992.8	6176002.5	
sp|A0A0B4J237|TVA82_HUMAN	A0A0B4J237	TVA82_HUMAN	TRAV8-2	113	Homo sapiens	3:Protein inferred from homology	T cell receptor alpha variable 8-2	0.9583	0.999	1	33	0	33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.93E+07	2.12E+07	3348295.2	1.87E+07	1.04E+07	1.62E+07	2.99E+07	2.82E+07	2.89E+07	2.62E+07	2.98E+07	2.66E+07	3.33E+07	3.33E+07	3.41E+07	3.82E+07	3.53E+07	3.59E+07	2.34E+07	3.22E+07	3.22E+07	3.14E+07	3.85E+07	1.24E+07	9123401	1.21E+07	2.01E+07	1.62E+07	3.05E+07	2.85E+07	2.20E+07	2.59E+07	2.63E+07	1.93E+07	2.12E+07	3348295.2	1.87E+07	1.04E+07	1.62E+07	2.99E+07	2.82E+07	2.89E+07	2.62E+07	2.98E+07	2.66E+07	3.33E+07	3.33E+07	3.41E+07	3.82E+07	3.53E+07	3.59E+07	2.34E+07	3.22E+07	3.22E+07	3.14E+07	3.85E+07	1.24E+07	9123401	1.21E+07	2.01E+07	1.62E+07	3.05E+07	2.85E+07	2.20E+07	2.59E+07	2.63E+07	sp|P01737|TVA84_HUMAN
sp|A0A0B4J2D5-2|GAL3B_HUMAN	A0A0B4J2D5-2	GAL3B_HUMAN	GATD3B	237	Homo sapiens		"Isoform 2 of Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial"	1	0.999	6	280	0	280	7	7	8	9	8	7	9	9	8	6	7	7	9	10	10	11	9	10	10	8	12	7	10	7	9	4	6	9	11	8	10	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	8	9	8	7	9	9	8	6	7	7	9	10	10	11	9	10	10	8	12	7	10	7	9	4	6	9	11	8	10	9	9	5.45E+08	5.17E+08	4.83E+08	5.73E+08	4.94E+08	5.09E+08	6.43E+08	5.38E+08	6.53E+08	5.49E+08	6.79E+08	6.55E+08	6.71E+08	7.52E+08	7.65E+08	7.66E+08	8.00E+08	6.75E+08	8.48E+08	7.21E+08	6.90E+08	8.01E+08	8.18E+08	4.72E+08	4.41E+08	4.96E+08	5.22E+08	5.26E+08	6.73E+08	6.42E+08	5.61E+08	7.62E+08	7.88E+08	2.03E+08	1.72E+08	1.76E+08	1.92E+08	1.85E+08	1.86E+08	1.99E+08	1.62E+08	2.04E+08	1.73E+08	2.07E+08	1.85E+08	2.34E+08	2.72E+08	2.62E+08	2.67E+08	2.60E+08	2.12E+08	2.79E+08	2.49E+08	2.45E+08	2.80E+08	2.78E+08	1.70E+08	1.66E+08	1.79E+08	1.92E+08	1.96E+08	1.92E+08	1.94E+08	1.92E+08	2.17E+08	2.28E+08	"sp|A0A0B4J2D5|GAL3B_HUMAN, sp|P0DPI2-2|GAL3A_HUMAN, sp|P0DPI2|GAL3A_HUMAN"
sp|A0AVF1-2|IFT56_HUMAN	A0AVF1-2	IFT56_HUMAN	TTC26	487	Homo sapiens		Isoform 2 of Intraflagellar transport protein 56	0.9998	0.999	2	10	0	10	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	5474681	1.09E+07	8421291	6795120.5	1.00E+07	0	0	0	0	0	0	0	8816201	7355788.5	8400075	8574327	7740138.5	6652502.5	7162975	5647174.5	0	0	8427049	6.88E+07	8797742	0	9933577	0	0	0	0	0	0	5474681	1.09E+07	8421291	6795120.5	1.00E+07	0	0	0	0	0	0	0	8816201	7355788.5	8400075	8574327	7740138.5	6652502.5	7162975	5647174.5	0	0	8427049	6.88E+07	8797742	0	9933577	0	0	0	0	0	"sp|A0AVF1-3|IFT56_HUMAN, sp|A0AVF1|IFT56_HUMAN"
sp|A0AVK6|E2F8_HUMAN	A0AVK6	E2F8_HUMAN	E2F8	867	Homo sapiens	1:Experimental evidence at protein level	Transcription factor E2F8	1	0.999	5	20	20	20	1	0	1	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	3	4	2	1	0	1	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	3	4	2	1	0	1	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	3	4	2	1894624.4	0	0	1326196.2	4477623	258118.31	5490649	1.51E+07	9702494	1.60E+07	8986655	9643929	5598216	3692965.5	5240627	1702538.8	4249592.5	4674953.5	4766606	4719218	4562858.5	1628110.5	0	2440372	1283153	1471123.1	1857825.6	1195253.8	4079148	2.40E+07	3.30E+07	4.48E+07	3.00E+07	5025816.5	0	0	3517963.2	3160994.5	684703.1	3727253.8	5600103.5	3588461.2	2973350.8	4458650.5	6326903.5	5067189.5	3342664.2	4743520	1541042.1	3846491.5	4231504.5	4314463	4271570	4130042.2	1473673.9	0	6473505.5	3403783.5	3902406.5	4928201.5	3170615.8	3692214.8	5787256	9331867	9230869	6035834.5	
sp|A0AVT1|UBA6_HUMAN	A0AVT1	UBA6_HUMAN	UBA6	1052	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-like modifier-activating enzyme 6	1	0.999	31	770	8	770	25	22	25	23	18	23	22	21	24	24	22	20	25	24	28	28	25	28	30	30	25	27	25	19	17	18	24	20	23	24	21	20	20	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	25	22	25	23	18	23	22	21	24	24	22	20	25	24	28	28	25	28	30	30	25	27	25	19	17	18	24	20	23	24	21	20	20	1.61E+09	1.58E+09	1.70E+09	1.72E+09	1.62E+09	1.65E+09	1.10E+09	9.98E+08	1.11E+09	1.24E+09	1.00E+09	1.01E+09	1.26E+09	1.19E+09	1.21E+09	1.24E+09	1.18E+09	1.24E+09	1.25E+09	1.24E+09	1.18E+09	1.29E+09	1.20E+09	1.66E+09	1.66E+09	1.70E+09	1.58E+09	1.68E+09	1.11E+09	1.00E+09	1.07E+09	1.14E+09	1.05E+09	2.51E+08	2.67E+08	2.75E+08	2.77E+08	2.62E+08	2.80E+08	2.70E+08	2.84E+08	2.73E+08	3.28E+08	2.76E+08	2.89E+08	2.78E+08	2.76E+08	2.86E+08	2.83E+08	2.78E+08	2.90E+08	2.83E+08	2.81E+08	2.98E+08	2.90E+08	2.95E+08	2.62E+08	2.74E+08	2.63E+08	2.73E+08	2.86E+08	2.45E+08	2.29E+08	2.57E+08	2.59E+08	2.52E+08	
sp|A0FGR8-2|ESYT2_HUMAN	A0FGR8-2	ESYT2_HUMAN	ESYT2	893	Homo sapiens		Isoform 2 of Extended synaptotagmin-2	0.9998	0.999	30	6	6	927	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	30	27	28	32	30	27	31	25	28	29	26	28	28	26	25	31	24	26	27	30	30	27	26	29	30	28	27	29	29	29	27	29	29	4886976.5	3723445.8	0	6059298	3006244.2	5004555.5	0	4828136.5	0	0	4588753	4767023.5	0	0	0	0	0	0	0	0	0	0	0	5761446.5	4329783	3207537.2	6222760	3447708.2	4309725.5	2415772.5	3312590.8	3207857	4257548.5	4886976.5	3723445.8	0	6059298	3006244.2	5004555.5	0	4828136.5	0	0	4588753	4767023.5	0	0	0	0	0	0	0	0	0	0	0	5761446.5	4329783	3207537.2	6222760	3447708.2	4309725.5	2415772.5	3312590.8	3207857	4257548.5	
sp|A0FGR8-6|ESYT2_HUMAN	A0FGR8-6	ESYT2_HUMAN	ESYT2	942	Homo sapiens		Isoform 6 of Extended synaptotagmin-2	1	0.999	31	970	49	970	31	28	29	31	31	27	32	28	30	31	29	29	30	28	27	33	27	27	30	32	32	29	27	30	29	29	27	30	30	30	28	29	30	1	1	1	0	1	1	1	3	2	2	3	1	2	2	2	2	3	1	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	31	28	29	31	31	27	32	28	30	31	29	29	30	28	27	33	27	27	30	32	32	29	27	30	29	29	27	30	30	30	28	29	30	1.52E+09	1.50E+09	1.69E+09	1.60E+09	1.67E+09	1.69E+09	1.42E+09	1.66E+09	1.31E+09	1.81E+09	1.56E+09	1.54E+09	1.25E+09	1.23E+09	1.13E+09	1.28E+09	1.18E+09	1.13E+09	1.24E+09	1.21E+09	1.11E+09	1.08E+09	1.09E+09	1.69E+09	1.70E+09	1.59E+09	1.79E+09	1.63E+09	1.37E+09	1.39E+09	1.51E+09	1.46E+09	1.50E+09	1.89E+08	2.06E+08	2.05E+08	2.09E+08	2.11E+08	2.04E+08	1.87E+08	1.84E+08	1.75E+08	1.86E+08	1.95E+08	1.86E+08	1.73E+08	1.79E+08	1.78E+08	1.79E+08	1.71E+08	1.80E+08	1.75E+08	1.74E+08	1.55E+08	1.49E+08	1.50E+08	2.16E+08	2.09E+08	2.11E+08	2.22E+08	1.95E+08	1.81E+08	1.88E+08	1.88E+08	1.92E+08	2.02E+08	
sp|A0JLT2|MED19_HUMAN	A0JLT2	MED19_HUMAN	MED19	244	Homo sapiens	1:Experimental evidence at protein level	Mediator of RNA polymerase II transcription subunit 19	1	0.999	3	20	1	20	1	0	2	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	1	1	7310955.5	6757065.5	9669654	4524501	7531441	8959147	1.04E+07	5.60E+07	1.13E+07	0	1.24E+07	1.35E+07	2.53E+07	2.62E+07	2.31E+07	1.79E+07	2.17E+07	2.31E+07	2.49E+07	2.47E+07	2.68E+07	2.40E+07	3.23E+07	8433948	7142801	8485125	9809215	7105774.5	1.70E+07	1.87E+07	1.32E+07	1.07E+07	8817380	7310955.5	6757065.5	9669654	4524501	7531441	8959147	1.04E+07	5.60E+07	1.13E+07	0	1.24E+07	1.35E+07	1.83E+07	1.92E+07	1.67E+07	1.79E+07	1.56E+07	1.70E+07	1.63E+07	1.71E+07	1.98E+07	1.66E+07	2.13E+07	8433948	7142801	8485125	9809215	7105774.5	1.22E+07	1.87E+07	1.32E+07	1.07E+07	8817380	
